Reporte Scoreboard
REPORTE DE TRANSACCIONES REALIZADAS
 ID =          10, dato=  20ed0b31b1 , Tiempo de escritura=         279, Driver de salida=          45, Tiempo de lectura=         425, Driver de llegada=          10 , Latencia=        146 
 ID =           1, dato=  2fbd8be7b , Tiempo de escritura=         365, Driver de salida=           4, Tiempo de lectura=         445, Driver de llegada=           1 , Latencia=         80 
 ID =           1, dato=  2d1c52d30 , Tiempo de escritura=         389, Driver de salida=          30, Tiempo de lectura=         493, Driver de llegada=           1 , Latencia=        104 
 ID =           1, dato=  32275441a , Tiempo de escritura=         459, Driver de salida=          15, Tiempo de lectura=         505, Driver de llegada=           1 , Latencia=         46 
 ID =           1, dato=  2ccf05077 , Tiempo de escritura=         401, Driver de salida=          40, Tiempo de lectura=         513, Driver de llegada=           1 , Latencia=        112 
 ID =           1, dato=  23711071d , Tiempo de escritura=         411, Driver de salida=          51, Tiempo de lectura=         533, Driver de llegada=           1 , Latencia=        122 
 ID =           1, dato=  3fca31507 , Tiempo de escritura=         443, Driver de salida=          54, Tiempo de lectura=         549, Driver de llegada=           1 , Latencia=        106 
 ID =           1, dato=  2cf75d8d6 , Tiempo de escritura=         423, Driver de salida=          52, Tiempo de lectura=         557, Driver de llegada=           1 , Latencia=        134 
 ID =           1, dato=  299dc1950 , Tiempo de escritura=         473, Driver de salida=          25, Tiempo de lectura=         577, Driver de llegada=           1 , Latencia=        104 
 ID =           1, dato=  2634c7949 , Tiempo de escritura=         437, Driver de salida=          53, Tiempo de lectura=         597, Driver de llegada=           1 , Latencia=        160 
 ID =           1, dato=  25e8bdcfa , Tiempo de escritura=         483, Driver de salida=          35, Tiempo de lectura=         617, Driver de llegada=           1 , Latencia=        134 
 ID =           1, dato=  2e6b2cc25 , Tiempo de escritura=         491, Driver de salida=          45, Tiempo de lectura=         637, Driver de llegada=           1 , Latencia=        146 
Reporte Scoreboard
REPORTE DE TRANSACCIONES REALIZADAS
 ID =           4, dato=  2613fe87e , Tiempo de escritura=          35, Driver de salida=          25, Tiempo de lectura=          59, Driver de llegada=           4 , Latencia=         24 
 ID =           3, dato=  1b2d4aa19 , Tiempo de escritura=          29, Driver de salida=          20, Tiempo de lectura=         101, Driver de llegada=           3 , Latencia=         72 
 ID =          15, dato=  abb8ce24c , Tiempo de escritura=          49, Driver de salida=          10, Tiempo de lectura=         107, Driver de llegada=          15 , Latencia=         58 
 ID =           4, dato=  277c6a7b0 , Tiempo de escritura=          69, Driver de salida=          54, Tiempo de lectura=         127, Driver de llegada=           4 , Latencia=         58 
 ID =           4, dato=  232cb55d1 , Tiempo de escritura=          73, Driver de salida=           2, Tiempo de lectura=         135, Driver de llegada=           4 , Latencia=         62 
 ID =          30, dato=  183578fce0 , Tiempo de escritura=          67, Driver de salida=           3, Tiempo de lectura=         137, Driver de llegada=          30 , Latencia=         70 
 ID =           4, dato=  277c6a7b0 , Tiempo de escritura=          69, Driver de salida=          54, Tiempo de lectura=         155, Driver de llegada=           4 , Latencia=         86 
 ID =          25, dato=  12e6a29c88 , Tiempo de escritura=          97, Driver de salida=          20, Tiempo de lectura=         155, Driver de llegada=          25 , Latencia=         58 
 ID =          52, dato=  2901bc5f30 , Tiempo de escritura=          77, Driver de salida=          15, Tiempo de lectura=         157, Driver de llegada=          52 , Latencia=         80 
 ID =           2, dato=  10fab6ead , Tiempo de escritura=          89, Driver de salida=           4, Tiempo de lectura=         159, Driver de llegada=           2 , Latencia=         70 
 ID =          53, dato=  299c9b0b36 , Tiempo de escritura=         113, Driver de salida=          30, Tiempo de lectura=         165, Driver de llegada=          53 , Latencia=         52 
 ID =          20, dato=  1070fb7770 , Tiempo de escritura=         137, Driver de salida=           3, Tiempo de lectura=         175, Driver de llegada=          20 , Latencia=         38 
