Reporte Scoreboard
REPORTE DE TRANSACCIONES REALIZADAS
 ID =  0, dato=  ffd4 , Tiempo de escritura=        7695, Driver de salida=  3, Tiempo de lectura=        9155, Driver de llegada=  0 , Latencia=       1460 
 ID =  3, dato=  ffea , Tiempo de escritura=        8685, Driver de salida=  0, Tiempo de lectura=        9355, Driver de llegada=  3 , Latencia=        670 
 ID =  2, dato=  ffea , Tiempo de escritura=        8685, Driver de salida=  0, Tiempo de lectura=        9355, Driver de llegada=  2 , Latencia=        670 
 ID =  1, dato=  ffea , Tiempo de escritura=        8685, Driver de salida=  0, Tiempo de lectura=        9355, Driver de llegada=  1 , Latencia=        670 
 ID =  3, dato=  ffc3 , Tiempo de escritura=        7995, Driver de salida=  1, Tiempo de lectura=        9555, Driver de llegada=  3 , Latencia=       1560 
 ID =  2, dato=  ffc3 , Tiempo de escritura=        7995, Driver de salida=  1, Tiempo de lectura=        9555, Driver de llegada=  2 , Latencia=       1560 
 ID =  0, dato=  ffc3 , Tiempo de escritura=        7995, Driver de salida=  1, Tiempo de lectura=        9555, Driver de llegada=  0 , Latencia=       1560 
 ID =  3, dato=  ff14 , Tiempo de escritura=        9055, Driver de salida=  2, Tiempo de lectura=        9755, Driver de llegada=  3 , Latencia=        700 
 ID =  1, dato=  ff14 , Tiempo de escritura=        9055, Driver de salida=  2, Tiempo de lectura=        9755, Driver de llegada=  1 , Latencia=        700 
 ID =  0, dato=  ff14 , Tiempo de escritura=        9055, Driver de salida=  2, Tiempo de lectura=        9755, Driver de llegada=  0 , Latencia=        700 
 ID =  2, dato=  ff8b , Tiempo de escritura=        8195, Driver de salida=  3, Tiempo de lectura=        9955, Driver de llegada=  2 , Latencia=       1760 
 ID =  1, dato=  ff8b , Tiempo de escritura=        8195, Driver de salida=  3, Tiempo de lectura=        9955, Driver de llegada=  1 , Latencia=       1760 
 ID =  0, dato=  ff8b , Tiempo de escritura=        8195, Driver de salida=  3, Tiempo de lectura=        9955, Driver de llegada=  0 , Latencia=       1760 
